mDM              Log[10,x]              e          \[Mu]          \[Tau]          q          c          b          t          W          Z          g          h
10              0.0000000010593                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000011885                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000013335                0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000014962                0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000016788                0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000018836                0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000021135                0.000013          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000023714                0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000026607                0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000029854                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000033497                0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000037584                0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000042170                0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000047315                0.000007          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000053088                0.000000          0.000007          0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000059566                0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000066834                0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000074989                0.000007          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000084140                0.000007          0.000027          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000094406                0.000013          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000105930                0.000020          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000118850                0.000013          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000133350                0.000020          0.000013          0.000013          0.000000          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000149620                0.000020          0.000040          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000167880                0.000020          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000188360                0.000040          0.000053          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000211350                0.000033          0.000000          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000237140                0.000020          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000266070                0.000033          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000298540                0.000053          0.000047          0.000020          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000334970                0.000080          0.000040          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000375840                0.000073          0.000047          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000421700                0.000093          0.000033          0.000040          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000473150                0.000147          0.000053          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000530880                0.001287          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000595660                0.003720          0.000033          0.000033          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000668340                0.006413          0.000127          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000749890                0.009000          0.000093          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000841400                0.011187          0.000187          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000000944060                0.013740          0.000360          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001059300                0.016493          0.005373          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001188500                0.019393          0.012300          0.000033          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001333500                0.021873          0.016140          0.000060          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001496200                0.024333          0.019487          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001678800                0.026800          0.023653          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000001883600                0.029380          0.026507          0.000047          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000002113500                0.031300          0.028760          0.000073          0.000000          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000002371400                0.033967          0.031460          0.000040          0.000007          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000002660700                0.037007          0.034607          0.000047          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000002985400                0.039613          0.037347          0.000087          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000003349700                0.042060          0.040640          0.000067          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000003758400                0.045407          0.042133          0.000080          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000004217000                0.046987          0.044713          0.001440          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000004731500                0.050967          0.046933          0.009487          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000005308800                0.052107          0.050507          0.014213          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000005956600                0.056093          0.052947          0.018047          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000006683400                0.057500          0.055727          0.020853          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000007498900                0.061007          0.056440          0.023573          0.000007          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000008414000                0.065020          0.059067          0.025313          0.000007          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000009440600                0.065260          0.062093          0.027613          0.000007          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000010593000                0.069880          0.063667          0.030087          0.000013          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000011885000                0.071413          0.066807          0.031707          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000013335000                0.074827          0.068933          0.033773          0.000007          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000014962000                0.077727          0.071953          0.034753          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000016788000                0.081993          0.073953          0.036387          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000018836000                0.087073          0.076980          0.037513          0.000007          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000021135000                0.090453          0.080140          0.038353          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000023714000                0.094673          0.080800          0.038927          0.000013          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000026607000                0.099520          0.082640          0.039073          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000029854000                0.105240          0.084980          0.040260          0.000013          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000033497000                0.116140          0.088767          0.038907          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000037584000                0.131870          0.089507          0.041160          0.000013          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000042170000                0.140650          0.091273          0.040140          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000047315000                0.144070          0.091593          0.040587          0.000007          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000053088000                0.142430          0.092860          0.040980          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000059566000                0.147330          0.095453          0.041653          0.000007          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000066834000                0.148360          0.098527          0.039600          0.000000          0.000007          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000074989000                0.152710          0.096960          0.040107          0.000007          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000084140000                0.152610          0.099673          0.042207          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000094406000                0.155680          0.099593          0.040860          0.000000          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000105930000                0.156660          0.099873          0.040173          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000118850000                0.159450          0.099833          0.040913          0.000013          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000133350000                0.160510          0.099927          0.040967          0.000013          0.000020          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000149620000                0.163770          0.099700          0.041220          0.000027          0.000000          0.000000          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000167880000                0.166040          0.100870          0.040980          0.000007          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000188360000                0.167450          0.102030          0.040580          0.000013          0.000007          0.000007          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000211350000                0.171440          0.101010          0.041780          0.000000          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000237140000                0.174150          0.101060          0.041120          0.000000          0.000013          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000266070000                0.174270          0.101330          0.041313          0.000007          0.000020          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000298540000                0.175650          0.100230          0.041527          0.000007          0.000007          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
10              0.0000334970000                0.179420          0.101460          0.040973          0.000013          0.000020          0.000007          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000375840000                0.181030          0.101170          0.040913          0.000020          0.000020          0.000040          0.000000          0.000000          0.000000          0.000020          0.000000
10              0.0000421700000                0.181550          0.102850          0.041093          0.000000          0.000013          0.000013          0.000000          0.000000          0.000000          0.000007          0.000000
10              0.0000473150000                0.183290          0.101190          0.040767          0.000027          0.000033          0.000013          0.000000          0.000000          0.000000          0.000013          0.000000
10              0.0000530880000                0.186540          0.101170          0.040727          0.000027          0.000047          0.000013          0.000000          0.000000          0.000000          0.000040          0.000000
10              0.0000595660000                0.189770          0.101020          0.041147          0.000013          0.000040          0.000027          0.000000          0.000000          0.000000          0.000020          0.000000
10              0.0000668340000                0.188230          0.102380          0.041947          0.000007          0.000040          0.000047          0.000000          0.000000          0.000000          0.000040          0.000000
10              0.0000749890000                0.192490          0.100610          0.041327          0.000033          0.000040          0.000053          0.000000          0.000000          0.000000          0.000033          0.000000
10              0.0000841400000                0.193730          0.100560          0.041247          0.000047          0.000040          0.000053          0.000000          0.000000          0.000000          0.000053          0.000000
10              0.0000944060000                0.194350          0.100430          0.041633          0.000093          0.000060          0.000040          0.000000          0.000000          0.000000          0.000060          0.000000
10              0.0001059300000                0.196970          0.101640          0.041453          0.000160          0.000027          0.000080          0.000000          0.000000          0.000000          0.000087          0.000000
10              0.0001188500000                0.197130          0.101740          0.042807          0.000200          0.000147          0.000147          0.000000          0.000000          0.000000          0.000093          0.000000
10              0.0001333500000                0.201090          0.103100          0.041420          0.000367          0.000193          0.000213          0.000000          0.000000          0.000000          0.000133          0.000000
